,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
64,Sistema,Sistema,5980825.96,5636127.93,5437909.72,5421885.76,5681937.42,6155130.22,6480670.19,7014666.55,7481452.18,7755016.04,8054555.42,8270318.04,8062464.24,8012699.46,8127494.75,8116870.96,8061584.49,8218264.23,9061046.23,9009104.04,8692597.87,8166435.96,7435106.71,6622242.25,2013-12-04
65,Sistema,Sistema,6170255.74,5961465.89,5737325.22,5697020.69,5853631.91,6343770.39,6639406.63,7191908.2,7794240.68,8074627.95,8368292.59,8582174.44,8396092.47,8373079.13,8588733,8514651.68,8434502.53,8593194.78,9338467.45,9249155.11,8923368.22,8208092.9,7426482.22,6752188.18,2013-12-05
66,Sistema,Sistema,6264666.93,6028001.47,5788608.62,5743983.43,5931019,6368977.03,6679258.88,7262018.8,7825595.17,8220853.45,8515813.56,8693324.36,8450786.61,8356916.92,8461453.03,8421346.64,8310464.45,8418339.36,9246491.4,9141162.7,8817806.55,8242173.19,7519838.81,6851073.88,2013-12-06
67,Sistema,Sistema,6477027.35,6074918.53,5840667.31,5786441.75,5855564.8,6049696.04,6146564.54,6755014.78,7408837.79,7785230.54,7967820.4,8050662.07,7940233.15,7725884.11,7541771.47,7423920.4,7327576.38,7603258.17,8642344.99,8538500.56,8172356.02,7679089.81,7057965.24,6522369.62,2013-12-07
68,Sistema,Sistema,6164826.95,5827642.89,5581191.15,5464752.93,5486758.57,5492328.74,5295114.36,5558296.44,6018547.55,6229528,6452608.08,6646165.3,6680148.56,6598157.27,6479820.37,6373218.87,6323773,6710349.26,7886369.28,8080943.67,7900272.94,7492653.43,6810727.36,6016531.77,2013-12-08
69,Sistema,Sistema,5703673.91,5478185.09,5316146.42,5290652.5,5464546.38,5955698.77,6253792.08,6793392.82,7581717.33,7909468.22,8230052.05,8533454.56,8387570.65,8328064.38,8425482.99,8432456.79,8355480.57,8444236.65,9327197.02,9353390.31,9007898.66,8357005.23,7575882.96,6599515.06,2013-12-09
70,Sistema,Sistema,6109225.74,5768412,5634820.36,5624648.66,5773565.36,6280060.59,6550392.29,7172893.49,7741114.46,8037482.79,8323102.51,8565712.46,8375545.22,8301114.74,8398971.22,8402716.18,8286532.61,8346776.24,9330391.42,9383313.73,9089501.63,8431142.95,7728752.32,6883802.58,2013-12-10
71,Sistema,Sistema,6329638.52,6000070.03,5799144.24,5770111.5,6005233.93,6451701.91,6717757.23,7323713.06,7830599.58,8091528.58,8343653.4,8583979.82,8414086.81,8360862.63,8496219.77,8483451.76,8389738.53,8451373.93,9356869.1,9451665.93,9204777.48,8587380.96,7868877.3,6923112.75,2013-12-11
72,Sistema,Sistema,6470016.23,6144807.29,5959179.45,5799606.73,5987501.3,6535806.76,6753801.21,7225545.74,7882769.66,8225597.35,8470692.27,8677216.7,8497972.79,8422985.52,8609708.13,8609360.62,8453754.85,8520220.96,9451351.54,9430689.88,9049474.24,8473744.39,7637918,6883317.96,2013-12-12
73,Sistema,Sistema,6458619.79,6222121.02,5960727.78,5883354.11,6054455.34,6538820.85,6785260.15,7268951.19,7809531.87,8079574.52,8341744.42,8513563.83,8310703.12,8285999.62,8374552.91,8354316.82,8236875.7,8402122.04,9269440.76,9117780.91,8821880.03,8285489.74,7626839.29,7012441.45,2013-12-13
74,Sistema,Sistema,6503060.44,6131296.17,5910379.39,5815526.27,5947478.12,6176540.46,6118316.84,6594690.12,7151629.26,7522529.34,7803542.21,7909659.2,7788846.52,7569606.96,7396602.39,7281782.46,7143146.79,7327595.1,8431037.21,8569963.36,8337325.21,7905847.65,7271072.2,6617939.83,2013-12-14
75,Sistema,Sistema,6181718.03,5882212.34,5624926.29,5470693.94,5417204.56,5409872.56,5240493.58,5579395.48,6066911.21,6409827.01,6673285.99,6854450.49,6879208.39,6761071.52,6622351.34,6549195.17,6483459.01,6783392.32,7897913.53,8071525.35,7933039.67,7557289.95,6939188.06,6359181.53,2013-12-15
76,Sistema,Sistema,5915366.16,5687672.15,5479896.12,5431168.65,5626948.2,6017890.57,6292928.58,6917205.61,7566975.2,7934726.53,8252451.13,8429418.12,8243871.72,8208295.86,8314421.3,8282897.37,8161754.76,8238901.02,9301214.21,9269134.69,8946856.39,8456388.11,7719825.13,6959343.96,2013-12-16
77,Sistema,Sistema,6385441.65,6153070.45,5965337.05,5928548.07,6073470.14,6401792,6595858.15,7180949.31,7684477.58,7967650.32,8252611.29,8441178.82,8298198.58,8256275.99,8289363.75,8208616.69,8204385.05,8221932.9,9139825.42,9107108.17,8722047.82,8216794.18,7549677.47,6849046.55,2013-12-17
78,Sistema,Sistema,6346922.98,6131685.88,5924931.02,5798990.49,5968926.05,6388990.54,6693002.79,7286758.01,7904362.98,8179884.94,8386919.26,8606562.71,8414045.88,8295329.65,8406511.56,8402760.07,8346370.22,8466333.2,9110832.85,8976446.49,8667407,8177379.54,7574524.94,6931254.84,2013-12-18
